RG,SITE_ID,SITE_EPA_ID,SITE_NAME,SITE_STRT_ADRS1,SITE_STRT_ADRS2,SITE_CITY_NAME,SITE_STATE,SITE_ZIP_CODE,SITE_CONG_DISTRICT,SITE_CNTY_NAME,SITE_FIPS_CODE,LATITUDE,LONGITUDE,ALT_AGREEMENT,NPL,FF,NON_NPL_STATUS,FULL_ADDRESS,COORDINATES,SITE_URL
5,501611,IND980500524,LAKE SANDY JO (M&M LANDFILL),3615 WEST 25TH AVENUE,,GARY,IN,46404,01,LAKE,18089.0,41.570839,-87.382231,N,Currently on the Final NPL,N,N,"3615 WEST 25TH AVENUE, GARY, IN, 46404","(41.573308, -87.38140581208053)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0501611
5,501630,IND980504005,"WASTE, INC., LANDFILL",1701 EAST US 12,,MICHIGAN CITY,IN,46360,01,LA PORTE,18091.0,41.721669,-86.88,N,Deleted from the Final NPL,N,N,"1701 EAST US 12, MICHIGAN CITY, IN, 46360","(42.5666832, -82.7848187478261)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0501630
5,501655,IND980607360,SOUTHSIDE SANITARY LANDFILL,2561 KENTUCKY AVENUE,,INDIANAPOLIS,IN,46221-5004,07,MARION,18097.0,39.716111,-86.205,N,Deleted from the Final NPL,N,N,"2561 KENTUCKY AVENUE, INDIANAPOLIS, IN, 46221-5004","(39.72901, -86.206264)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0501655
5,501761,IND980615421,MIDCO I,7400 W 15TH AVE,,GARY,IN,46406,01,LAKE,18089.0,41.5895,-87.4284,N,Currently on the Final NPL,N,N,"7400 W 15TH AVE, GARY, IN, 46406","(41.588174, -87.429074)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0501761
5,501799,IND980679542,FORT WAYNE REDUCTION DUMP,5225 OLD MAUMEE RD,,FORT WAYNE,IN,46803,3,ALLEN,18003.0,41.075,-85.06666899999998,N,Currently on the Final NPL,N,N,"5225 OLD MAUMEE RD, FORT WAYNE, IN, 46803","(41.0749475, -85.0718459)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0501799
5,501800,IND980679559,MIDCO II,5900 INDUSTRIAL HIGHWAY,,GARY,IN,46406,01,LAKE,18089.0,41.622781,-87.408611,N,Currently on the Final NPL,N,N,"5900 INDUSTRIAL HIGHWAY, GARY, IN, 46406","(41.622106695152276, -87.41095607608331)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0501800
5,501812,IND980794341,LEMON LANE LANDFILL,LEMON LANE,,BLOOMINGTON,IN,47401,9,MONROE,18105.0,39.1731,-86.5598,N,Currently on the Final NPL,N,N,"LEMON LANE, BLOOMINGTON, IN, 47401","(39.1751315, -86.5587336)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0501812
5,501813,IND980794358,MAIN STREET WELL FIELD,1120 N MAIN ST,,ELKHART,IN,46514,2,ELKHART,18039.0,41.696389,-85.979161,N,Currently on the Final NPL,N,N,"1120 N MAIN ST, ELKHART, IN, 46514","(41.697660102040814, -85.97632802040816)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0501813
5,501814,IND980794366,MARION (BRAGG) DUMP,2627-2629 CENTRAL AVE,,MARION,IN,46952,05,GRANT,18053.0,40.537781,-85.633061,N,Currently on the Final NPL,N,N,"2627-2629 CENTRAL AVE, MARION, IN, 46952","(39.80476465217391, -86.14944339130435)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0501814
5,501815,IND980794374,"WEDZEB ENTERPRISES, INC.",320 SOUTH BALLARD STREET,,LEBANON,IN,46052,4,BOONE,18011.0,40.0453,-86.4723,N,Deleted from the Final NPL,N,N,"320 SOUTH BALLARD STREET, LEBANON, IN, 46052","(40.0457787, -86.4719443)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0501815
5,501978,IND980999791,WHITEFORD SALES & SERVICE INC./NATIONALEASE,2020 WEST SAMPLE STREET,,SOUTH BEND,IN,46619,2,ST. JOSEPH,18141.0,41.66388900000001,-86.280281,N,Deleted from the Final NPL,N,N,"2020 WEST SAMPLE STREET, SOUTH BEND, IN, 46619","(41.664701077537075, -86.2794171727477)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0501978
5,508071,INN000508071,TOWN OF PINES GROUNDWATER PLUME,WALNUT STREET & HWY. 20,,TOWN OF PINES,IN,46360,02,PORTER,18127.0,41.681111,-86.957778,Y,Not on the NPL,N,N,"WALNUT STREET & HWY. 20, TOWN OF PINES, IN, 46360","(41.6812496, -86.9577489)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0508071
5,508142,INN000508142,JACOBSVILLE NEIGHBORHOOD SOIL CONTAMINATION,MAIN AND ILLINOIS,,EVANSVILLE,IN,47710,08,VANDERBURGH,18163.0,37.979297,-87.563989,N,Currently on the Final NPL,N,N,"MAIN AND ILLINOIS, EVANSVILLE, IN, 47710","(37.979314, -87.564068)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0508142
5,509938,INN000509938,ELM STREET GROUND WATER CONTAMINATION,ELM STREET AND HIGHWAY 41,,TERRE HAUTE,IN,47807-1920,08,VIGO,18167.0,39.476586,-87.41431899999998,N,Currently on the Final NPL,N,N,"ELM STREET AND HIGHWAY 41, TERRE HAUTE, IN, 47807-1920","(39.47638152548662, -87.4164051896796)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0509938
5,507828,INSFN0507828,NORTH SHORE DRIVE,NORTH SHORE DRIVE,,ELKHART,IN,46514,03,ELKHART,18039.0,41.684722,-86.055,N,Currently on the Final NPL,N,N,"NORTH SHORE DRIVE, ELKHART, IN, 46514","(41.7552569, -85.965293)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0507828
5,502150,INT190010876,INTERNATIONAL MINERALS (E. PLANT),LOCKPORT RD,,TERRE HAUTE,IN,47802,8,VIGO,18167.0,39.437781,-87.391389,N,Deleted from the Final NPL,N,N,"LOCKPORT RD, TERRE HAUTE, IN, 47802","(39.4400728, -87.3959347)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0502150
5,501215,IND000807107,REILLY TAR & CHEMICAL CORP. (INDIANAPOLIS PLANT),1500 S TIBBS AVE,,INDIANAPOLIS,IN,46241,7,MARION,18097.0,39.740281,-86.218331,N,Currently on the Final NPL,N,N,"1500 S TIBBS AVE, INDIANAPOLIS, IN, 46241","(39.744689, -86.216117)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0501215
5,501228,IND001213503,CONTINENTAL STEEL CORP.,W MARKLAND AVE,,KOKOMO,IN,46902,04,HOWARD,18067.0,40.474169,-86.156299,N,Currently on the Final NPL,N,N,"W MARKLAND AVE, KOKOMO, IN, 46902","(40.476461, -86.13236)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0501228
5,501308,IND006038764,TRI-STATE PLATING,1716 KELLER AVE,,COLUMBUS,IN,47201,06,BARTHOLOMEW,18005.0,39.2164,-85.9007,N,Deleted from the Final NPL,N,N,"1716 KELLER AVE, COLUMBUS, IN, 47201","(39.2160727379178, -85.90033954257105)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0501308
5,501373,IND016360265,"AMERICAN CHEMICAL SERVICE, INC.",420 SOUTH COLFAX AVENUE,,GRIFFITH,IN,46319,01,LAKE,18089.0,41.5142,-87.4191,N,Currently on the Final NPL,N,N,"420 SOUTH COLFAX AVENUE, GRIFFITH, IN, 46319","(41.559718, -87.4131134)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0501373
5,501376,IND016395899,CARTER LEE LUMBER CO.,1621 WEST WASHINGTON STREET,,INDIANAPOLIS,IN,46222,7,MARION,18097.0,39.7654,-86.1918,N,Deleted from the Final NPL,N,N,"1621 WEST WASHINGTON STREET, INDIANAPOLIS, IN, 46222","(39.766875530612246, -86.18984742857143)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0501376
5,501433,IND047030226,"U.S. SMELTER AND LEAD REFINERY, INC.",5300 KENNEDY AVE,,EAST CHICAGO,IN,46312,01,LAKE,18089.0,41.616758,-87.464046,N,Currently on the Final NPL,N,N,"5300 KENNEDY AVE, EAST CHICAGO, IN, 46312","(41.617561900518425, -87.46164124870242)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0501433
7,700039,IAD000606038,LAWRENCE TODTZ FARM,RR 1,,CAMANCHE,IA,52730,01,CLINTON,19045.0,41.787781,-90.292639,N,Currently on the Final NPL,N,N,"RR 1, CAMANCHE, IA, 52730","(41.7880862, -90.2562398)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0700039
7,700094,IAD005279039,"ELECTRO-COATINGS, INC.",911 SHAVER RD NE,,CEDAR RAPIDS,IA,52402,02,LINN,19113.0,41.9953,-91.671389,N,Deleted from the Final NPL,N,N,"911 SHAVER RD NE, CEDAR RAPIDS, IA, 52402","(41.995503369863016, -91.66835094520549)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0700094
7,700145,IAD039954300,PCE FORMER DRY CLEANER,1205 East 7th Street,,ATLANTIC,IA,50022,04,CASS,19029.0,41.403717,-94.995764,N,Currently on the Final NPL,N,N,"1205 East 7th Street, ATLANTIC, IA, 50022","(41.40377013793103, -94.99576337931035)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0700145
7,700185,IAD069625655,MIDWEST MANUFACTURING/NORTH FARM,101 HIGH ST,,KELLOGG,IA,50135,03,JASPER,19099.0,41.746811,-92.893061,N,Currently on the Final NPL,N,N,"101 HIGH ST, KELLOGG, IA, 50135","(41.715167, -92.907091)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0700185
7,700204,IAD085824688,MID-AMERICA TANNING CO.,PORT NEAL ROAD,,SERGEANT BLUFF,IA,51054,05,WOODBURY,19193.0,42.3375,-96.352219,N,Deleted from the Final NPL,N,N,"PORT NEAL ROAD, SERGEANT BLUFF, IA, 51054","(42.391774, -96.3553895)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0700204
7,700244,IAD980630560,SHAW AVENUE DUMP,SHAW AVE,,CHARLES CITY,IA,50616,04,FLOYD,19067.0,43.0563,-92.6631,N,Currently on the Final NPL,N,N,"SHAW AVE, CHARLES CITY, IA, 50616","(43.055841, -92.661693)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0700244
7,700286,IAD980631063,LABOUNTY,910 S GRAND AVE,,CHARLES CITY,IA,50616,04,FLOYD,19067.0,43.058,-92.6696,N,Deleted from the Final NPL,N,N,"910 S GRAND AVE, CHARLES CITY, IA, 50616","(43.059834, -92.672496)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0700286
7,700325,IAD980852578,PEOPLES NATURAL GAS CO.,502 E 11TH ST,,DUBUQUE,IA,52001,01,DUBUQUE,19061.0,42.505281,-90.658889,N,Currently on the Final NPL,N,N,"502 E 11TH ST, DUBUQUE, IA, 52001","(42.50553814662227, -90.6605330154876)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0700325
7,700347,IAD981124167,FAIRFIELD COAL GASIFICATION PLANT,101 S 7TH ST,,FAIRFIELD,IA,52556,02,JEFFERSON,19101.0,41.0062,-91.9724,N,Currently on the Final NPL,N,N,"101 S 7TH ST, FAIRFIELD, IA, 52556","(41.006423, -91.971008)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0700347
7,702470,IAD984591172,IOWA CITY FMGP,505 E BURLINGTON ST,,IOWA CITY,IA,52240,01,JOHNSON,19103.0,41.657453,-91.528422,Y,Not on the NPL,N,N,"505 E BURLINGTON ST, IOWA CITY, IA, 52240","(41.65714855, -91.5281375911578)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0702470
7,705026,KSN000705026,FORMER UNITED ZINC & ASSOCIATED SMELTERS,HIGHWAY 54 & KANSAS DRIVE,,IOLA,KS,66749,02,ALLEN,20001.0,37.92228,-95.3859,N,Currently on the Final NPL,N,N,"HIGHWAY 54 & KANSAS DRIVE, IOLA, KS, 66749","(37.9213862, -95.3998602)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0705026
7,706550,KSN000706550,CHEROKEE ZINC - WEIR SMELTER,413 N WASHINGTON STREET,,WEIR,KS,66781,02,CHEROKEE,20021.0,37.313778000000006,-94.772389,N,Proposed for NPL,N,N,"413 N WASHINGTON STREET, WEIR, KS, 66781","(37.3117056, -94.7717463)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0706550
7,700743,KS6214020756,FORT RILEY,DICKMAN AVE,,JUNCTION CITY,KS,66441,02,GEARY,20061.0,39.306647,-96.960906,N,Currently on the Final NPL,Y,Y,"DICKMAN AVE, JUNCTION CITY, KS, 66441","(39.3413853, -94.9210981)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0700743
7,700447,KSD000829846,PESTER REFINERY CO.,N TOPEKA ST,,EL DORADO,KS,67042,04,BUTLER,20015.0,37.839364,-96.857611,N,Currently on the Final NPL,N,N,"N TOPEKA ST, EL DORADO, KS, 67042","(37.821066, -96.8595756)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0700447
7,700468,KSD007135429,HYDRO-FLEX INC.,2101 NW BRICKYARD RD,,TOPEKA,KS,66618,02,SHAWNEE,20177.0,39.08707800000001,-95.725792,N,Deleted from the Final NPL,N,N,"2101 NW BRICKYARD RD, TOPEKA, KS, 66618","(39.0869586, -95.72544275)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0700468
7,700513,KSD031349624,"CHEMICAL COMMODITIES, INC.",S. KEELER ST,,OLATHE,KS,66061,03,JOHNSON,20091.0,38.878244,-94.805603,N,Currently on the Final NPL,N,N,"S. KEELER ST, OLATHE, KS, 66061","(38.875598, -94.806289)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0700513
7,700521,KSD046746731,ACE SERVICES,345 CONVESSE,,COLBY,KS,67701,01,THOMAS,20193.0,39.396267,-101.040361,N,Currently on the Final NPL,N,N,"345 CONVESSE, COLBY, KS, 67701","(39.3989922, -101.0410225)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0700521
7,700559,KSD980500789,ARKANSAS CITY DUMP,HWY 166 S,,ARKANSAS CITY,KS,67005,04,COWLEY,20035.0,37.056317,-97.050025,N,Deleted from the Final NPL,N,N,"HWY 166 S, ARKANSAS CITY, KS, 67005","(37.06028585, -97.03738154936393)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0700559
7,700580,KSD980631766,OBEE ROAD,OBEE RD,,HUTCHINSON,KS,67501,01,RENO,20155.0,38.063503,-97.857775,N,Currently on the Final NPL,N,N,"OBEE RD, HUTCHINSON, KS, 67501","(38.065635, -97.915411)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0700580
4,401932,KYD006371074,GENERAL TIRE & RUBBER CO. (MAYFIELD LANDFILL),1 GENERAL ST,,MAYFIELD,KY,42066,01,GRAVES,21083.0,36.7906,-88.6358,N,Deleted from the Final NPL,N,N,"1 GENERAL ST, MAYFIELD, KY, 42066","(36.741947, -88.6383548)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0401932
4,401986,KYD045738291,"CALDWELL LACE LEATHER CO., INC.",111 E CALDWELL ST,,AUBURN,KY,42206,01,LOGAN,21141.0,36.8725,-86.74638900000002,N,Currently on the Final NPL,N,N,"111 E CALDWELL ST, AUBURN, KY, 42206","(36.865607322580644, -86.70942912903226)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0401986
4,402059,KYD097267413,SMITH%27S FARM,PRYOR VALLEY RD,,BROOKS,KY,40165,02,BULLITT,21029.0,38.0375,-85.733331,N,Currently on the Final NPL,N,N,"PRYOR VALLEY RD, BROOKS, KY, 40165","(38.031842, -85.736666)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0402059
4,402081,KYD980501076,"GREEN RIVER DISPOSAL, INC.",KELLY CEMETARY RD,,MACEO,KY,42355,02,DAVIESS,21059.0,37.88945,-86.973611,N,Currently on the Final NPL,N,N,"KELLY CEMETARY RD, MACEO, KY, 42355","(37.139933, -85.535788)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0402081
4,402125,KYD980601975,DISTLER FARM,BLEVINS GAP RD,,WEST POINT,KY,40272,"02,03",JEFFERSON,21111.0,38.006939,-85.931111,N,Currently on the Final NPL,N,N,"BLEVINS GAP RD, WEST POINT, KY, 40272","(38.069448, -85.842614)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0402125
6,603977,LAD985169317,GULF STATE UTILITIES-NORTH RYAN STREET,303 NORTH RYAN STREET,,LAKE CHARLES,LA,70601,03,,,30.240833,-93.219167,N,Proposed for NPL,N,N,"303 NORTH RYAN STREET, LAKE CHARLES, LA, 70601","(30.240565060606063, -93.21698833333333)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0603977
6,604348,LAD985185107,RUSTON FOUNDRY,1010 BOGAN STREET,,ALEXANDRIA,LA,71302,05,RAPIDES,22079.0,31.297220000000006,-92.439583,N,Deleted from the Final NPL,N,N,"1010 BOGAN STREET, ALEXANDRIA, LA, 71302","(31.3003169, -92.4379765)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0604348
6,600317,LAD000239814,"AMERICAN CREOSOTE WORKS, INC. (WINNFIELD PLANT)",1006 FRONT STREET,,WINNFIELD,LA,71483,05,WINN,22127.0,31.918611,-92.634722,N,Currently on the Final NPL,N,N,"1006 FRONT STREET, WINNFIELD, LA, 71483","(31.9190732, -92.6360165)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0600317
6,601494,LAD008149015,SOUTHERN SHIPBUILDING,999 CANULETTE ROAD,,SLIDELL,LA,70459,01,ST. TAMMANY,22103.0,30.2725,-89.800833,N,Deleted from the Final NPL,N,N,"999 CANULETTE ROAD, SLIDELL, LA, 70459","(30.269081, -89.795989)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0601494
6,600428,LAD052510344,DELATTE METALS,1541 WEINBERGER ROAD,,PONCHATOULA,LA,70454,01,TANGIPAHOA,22105.0,30.4225,-90.410833,N,Deleted from the Final NPL,N,N,"1541 WEINBERGER ROAD, PONCHATOULA, LA, 70454","(30.4322031, -90.42986582842522)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0600428
6,600574,LAD980745632,BAYOU BONFOUCA,BAYOU BONFOUCA,,SLIDELL,LA,70458,01,ST. TAMMANY,22103.0,30.282219,-89.784161,N,Currently on the Final NPL,N,N,"BAYOU BONFOUCA, SLIDELL, LA, 70458","(30.290557, -89.789789)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0600574
6,600646,LAD981056997,AGRICULTURE STREET LANDFILL,ABUNDANCE STREET,,NEW ORLEANS,LA,70126,02,ORLEANS,22071.0,29.98866,-90.040165,N,Currently on the Final NPL,N,N,"ABUNDANCE STREET, NEW ORLEANS, LA, 70126","(29.9868053, -90.0315323)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0600646
1,101072,ME7170022019,PORTSMOUTH NAVAL SHIPYARD,SEAVEY ISLAND,,KITTERY,ME,03904,01,YORK,23031.0,43.084167,-70.74166600000002,N,Currently on the Final NPL,Y,Y,"SEAVEY ISLAND, KITTERY, ME, 03904","(43.079876299999995, -70.73260556088573)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0101072
1,100989,MED042143883,"UNION CHEMICAL CO., INC.",RTE 17,,SOUTH HOPE,ME,04862,01,KNOX,23013.0,44.21444,-69.189027,N,Deleted from the Final NPL,N,N,"RTE 17, SOUTH HOPE, ME, 04862","(44.2145226, -69.1917086)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0100989
1,101010,MED980504393,SACO MUNICIPAL LANDFILL,FOSS RD,,SACO,ME,04072,01,YORK,23031.0,43.5302,-70.4815,N,Currently on the Final NPL,N,N,"FOSS RD, SACO, ME, 04072","(43.5327283, -70.4801762)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0101010
1,101012,MED980504435,WINTHROP LANDFILL,ANNABESSACOOK RD,,WINTHROP,ME,04364,01,KENNEBEC,23011.0,44.275831,-69.988331,N,Currently on the Final NPL,N,N,"ANNABESSACOOK RD, WINTHROP, ME, 04364","(44.2792947, -69.9881143)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0101012
1,101014,MED980520241,SACO TANNERY WASTE PITS,FLAG POND RD,,SACO,ME,04072,01,YORK,23031.0,43.56055,-70.426389,N,Deleted from the Final NPL,N,N,"FLAG POND RD, SACO, ME, 04072","(43.5539017, -70.4244598)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0101014
1,101027,MED980524078,MCKIN CO.,MAYALL RD,,GRAY,ME,04039,01,CUMBERLAND,23005.0,43.8841,-70.2942,N,Currently on the Final NPL,N,N,"MAYALL RD, GRAY, ME, 04039","(43.909647, -70.311843)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0101027
1,101031,MED980731475,O%27CONNOR CO.,"EASTERN AVE, RT 17",,AUGUSTA,ME,04330,01,KENNEBEC,23011.0,44.301916,-69.736944,N,Deleted from the Final NPL,N,N,"EASTERN AVE, RT 17, AUGUSTA, ME, 04330","(44.3094404, -69.7628058)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0101031
1,101036,MED980732291,PINETTE%27S SALVAGE YARD,GARDNER CREEK RD,,WASHBURN,ME,04786,02,AROOSTOOK,23003.0,46.7782,-68.1701,N,Deleted from the Final NPL,N,N,"GARDNER CREEK RD, WASHBURN, ME, 04786","(46.772723, -68.199541)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0101036
1,101043,MED980915474,EASTLAND WOOLEN MILL,MAIN STREET,,CORINNA,ME,04928,02,PENOBSCOT,23019.0,44.921667,-69.261111,N,Currently on the Final NPL,N,N,"MAIN STREET, CORINNA, ME, 04928","(44.9209931, -69.2609596)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0101043
1,101054,MED981073711,EASTERN SURPLUS,ROUTE 191,,MEDDYBEMPS,ME,04657,02,WASHINGTON,23029.0,45.03888900000001,-67.358333,N,Currently on the Final NPL,N,N,"ROUTE 191, MEDDYBEMPS, ME, 04657","(44.9995784, -67.423795)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0101054
1,106078,MEN000106078,KEDDY MILL,7 DEPOT STREET,,WINDHAM,ME,04062,01,CUMBERLAND,23005.0,43.734953,-70.424514,N,Currently on the Final NPL,N,N,"7 DEPOT STREET, WINDHAM, ME, 04062","(43.73538126539331, -70.4241864744421)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0106078
3,300420,MD0570024000,ANDREWS AIR FORCE BASE,ALLENTOWN ROAD,,ANDREWS AIR FORCE BASE,MD,20762,04,PRINCE GEORGE%27S,24033.0,38.791667,-76.875,N,Currently on the Final NPL,Y,Y,"ALLENTOWN ROAD, ANDREWS AIR FORCE BASE, MD, 20762","(38.8210059, -76.8866345)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0300420
3,300421,MD2210020036,ABERDEEN PROVING GROUND (EDGEWOOD AREA),OFF RTE 40,,EDGEWOOD,MD,21010,02,HARFORD,24025.0,39.395404,-76.30773,N,Currently on the Final NPL,Y,Y,"OFF RTE 40, EDGEWOOD, MD, 21010","(39.4467881, -76.2904485)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0300421
3,304341,MD4690307844,CURTIS BAY COAST GUARD YARD,2401 HAWKINS POINT RD,,BALTIMORE,MD,21226,02,ANNE ARUNDEL,24003.0,39.2,-76.572694,N,Currently on the Final NPL,Y,Y,"2401 HAWKINS POINT RD, BALTIMORE, MD, 21226","(39.1991453, -76.56889183106077)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0304341
3,300430,MD7170024684,INDIAN HEAD NAVAL SURFACE WARFARE CENTER,201 INDIAN HEAD HIGHWAY,,INDIAN HEAD,MD,20640,05,CHARLES,24017.0,38.591389,-77.174306,N,Currently on the Final NPL,Y,Y,"201 INDIAN HEAD HIGHWAY, INDIAN HEAD, MD, 20640","(38.6013456, -77.1440426)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0300430
3,300192,MDD000218008,"SPECTRON, INC.",111 PROVIDENCE RD,,ELKTON,MD,21921,01,CECIL,24015.0,39.691249,-75.877778,N,Currently on the Final NPL,N,N,"111 PROVIDENCE RD, ELKTON, MD, 21921","(39.6104775, -75.82746127843785)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0300192
3,303260,MDD003061447,CENTRAL CHEMICAL (HAGERSTOWN),MITCHELL AVE,,HAGERSTOWN,MD,21742,06,WASHINGTON,24043.0,39.656667,-77.723611,N,Currently on the Final NPL,N,N,"MITCHELL AVE, HAGERSTOWN, MD, 21742","(39.6567895, -77.7219321)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0303260
3,300243,MDD064882889,"MID-ATLANTIC WOOD PRESERVERS, INC.",P O BOX 58 SHIPLEY AVE,,HARMANS,MD,21077,02,ANNE ARUNDEL,24003.0,39.163611,-76.69833100000002,N,Deleted from the Final NPL,N,N,"P O BOX 58 SHIPLEY AVE, HARMANS, MD, 21077","(39.1515027, -76.7082365)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0300243
3,300316,MDD980705164,"SAND, GRAVEL AND STONE",RTE 40,,ELKTON,MD,21921,01,CECIL,24015.0,39.615281,-75.896389,N,Currently on the Final NPL,N,N,"RTE 40, ELKTON, MD, 21921","(39.62183367263166, -75.84160418429207)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0300316
3,300338,MDD980918387,68TH STREET DUMP/INDUSTRIAL ENTERPRISES,68TH STREET,,ROSEDALE,MD,21237,02,BALTIMORE,24005.0,39.307967,-76.517886,Y,Proposed for NPL,N,N,"68TH STREET, ROSEDALE, MD, 21237","(39.312615, -76.520515)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0300338
3,303253,MDD982364341,"ORDNANCE PRODUCTS, INC.",1079 MECHANICS VALLEY RD,,NORTH EAST,MD,21901-2507,01,CECIL,24015.0,39.630833,-75.923889,N,Currently on the Final NPL,N,N,"1079 MECHANICS VALLEY RD, NORTH EAST, MD, 21901-2507","(39.6285806827836, -75.9221086036893)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0303253
3,304606,MDD985397249,FORT DETRICK AREA B GROUND WATER,810 SCHREIDER STREET,,FORT DETRICK,MD,21702,06,FREDERICK,24021.0,39.434442,-77.44676899999997,N,Currently on the Final NPL,Y,Y,"810 SCHREIDER STREET, FORT DETRICK, MD, 21702","(39.435882285714285, -77.42646867346939)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0304606
1,100376,MAD001026319,ATLAS TACK CORP.,PLEASANT ST,,FAIRHAVEN,MA,02719,09,BRISTOL,25005.0,41.635561,-70.89445,N,Currently on the Final NPL,N,N,"PLEASANT ST, FAIRHAVEN, MA, 02719","(41.6348119, -70.898242)",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0100376
